n,iteration,residual
8,1,2.165869414387374e-01
8,2,5.323656938129919e-02
8,3,1.341433652616318e-02
8,4,3.321977182033695e-03
16,1,1.803954412436719e-01
16,2,4.482636401674372e-02
16,3,1.178222533824859e-02
16,4,3.112120995067885e-03
16,5,8.207615240809038e-04
16,6,2.158680552808279e-04
16,7,5.657058765864444e-05
16,8,1.475406777181274e-05
32,1,1.393335584878366e-01
32,2,3.436878527357132e-02
32,3,9.101358748307925e-03
32,4,2.429394590643802e-03
32,5,6.488707970207640e-04
32,6,1.732815941911974e-04
32,7,4.626356132113971e-05
32,8,1.234816268127017e-05
32,9,3.294782921591874e-06
32,10,8.788091543111331e-07
32,11,2.343066283196719e-07
32,12,6.244127942511000e-08
32,13,1.663130306942091e-08
32,14,4.427023920709204e-09
32,15,1.177563941924306e-09
32,16,3.129607712902210e-10
64,1,1.031880285616842e-01
64,2,2.527083795993714e-02
64,3,6.699946372312059e-03
64,4,1.792236604735526e-03
64,5,4.798471907080526e-04
64,6,1.284804217669285e-04
64,7,3.440039205562504e-05
64,8,9.210405435583772e-06
64,9,2.465938059285257e-06
64,10,6.601961229147674e-07
64,11,1.767463557494721e-07
64,12,4.731664143279428e-08
64,13,1.266667102826896e-08
64,14,3.390746658504456e-09
64,15,9.076356092372513e-10
64,16,2.429461546433331e-10
64,17,6.502640654925837e-11
64,18,1.740401756297042e-11
64,19,4.657876942948440e-12
64,20,1.246533177008505e-12
64,21,3.335765222618808e-13
64,22,8.926090545919832e-14
64,23,2.388361815984233e-14
64,24,6.390272964122860e-15
64,25,1.710207981852574e-15
64,26,4.597476022577107e-16
64,27,1.310921363198326e-16
64,28,5.736870011784425e-17
64,29,4.792933013167394e-17
64,30,4.718188036050782e-17
64,31,4.712797726581059e-17
64,32,4.712412128124318e-17
128,1,7.471771380559915e-02
128,2,1.821580962810928e-02
128,3,4.829578721614426e-03
128,4,1.292518007698334e-03
128,5,3.462378995028809e-04
128,6,9.275766473640247e-05
128,7,2.485004590974547e-05
128,8,6.657384515222524e-06
128,9,1.783523553559283e-06
128,10,4.778072820159161e-07
128,11,1.280045339181911e-07
128,12,3.429229727573221e-08
128,13,9.186845466692115e-09
128,14,2.461131448381046e-09
128,15,6.593283326691489e-10
128,16,1.766310938798613e-10
128,17,4.731850656236392e-11
128,18,1.267632335854448e-11
128,19,3.395892662944017e-12
128,20,9.097308483709713e-13
128,21,2.437082142561132e-13
128,22,6.528684786050728e-14
128,23,1.748961553343128e-14
128,24,4.685380064313573e-15
128,25,1.255662360626392e-15
128,26,3.382898788455345e-16
128,27,9.749793482929074e-17
128,28,4.444777297767528e-17
128,29,3.788439901246353e-17
128,30,3.736910700687784e-17
128,31,3.733185643834130e-17
128,32,3.732918195770447e-17
128,33,3.732899003525617e-17
128,34,3.732897626342355e-17
128,35,3.732897527520830e-17
128,36,3.732897520429853e-17
128,37,3.732897519921043e-17
128,38,3.732897519884534e-17
128,39,3.732897519881915e-17
128,40,3.732897519881728e-17
128,41,3.732897519881714e-17
128,42,3.732897519881713e-17
128,43,3.732897519881713e-17
128,44,3.732897519881712e-17
128,45,3.732897519881696e-17
128,46,3.732897519881478e-17
128,47,3.732897519878434e-17
128,48,3.732897519836004e-17
128,49,3.732897519244580e-17
128,50,3.732897511000659e-17
128,51,3.732897396085666e-17
128,52,3.732895794226641e-17
128,53,3.732873467557430e-17
128,54,3.732562841482069e-17
128,55,3.728348524638776e-17
128,56,3.685865119323576e-17
128,57,3.590380600675943e-17
128,58,3.566079983206625e-17
128,59,3.564014303136831e-17
128,60,3.563864170727274e-17
128,61,3.563853392338414e-17
128,62,3.563852619236783e-17
128,63,3.563852563789701e-17
128,64,3.563852559813162e-17
256,1,5.347301762895189e-02
256,2,1.300382407373754e-02
256,3,3.447295579093354e-03
256,4,9.226761285567363e-04
256,5,2.471957865428084e-04
256,6,6.623262098556306e-05
256,7,1.774623150271116e-05
256,8,4.754890230776484e-06
256,9,1.274015545495377e-06
256,10,3.413570005515911e-07
256,11,9.146243330967514e-08
256,12,2.450623185307560e-08
256,13,6.566140508730842e-09
256,14,1.759315185040564e-09
256,15,4.713863190024578e-10
256,16,1.263019739343856e-10
256,17,3.384099640917266e-11
256,18,9.067258237262144e-12
256,19,2.429454023360155e-12
256,20,6.509408382022610e-13
256,21,1.744128088919538e-13
256,22,4.673835761922675e-14
256,23,1.254815079409913e-14
256,24,3.454915968066205e-15
256,25,1.220490018593528e-15
256,26,8.600103104323033e-16
256,27,8.281164930434538e-16
256,28,8.257794539403302e-16
256,29,8.256114240650728e-16
256,30,8.255993599430671e-16
256,31,8.255984938579141e-16
256,32,8.255984316820360e-16
256,33,8.255984272184627e-16
256,34,8.255984268980251e-16
256,35,8.255984268750209e-16
256,36,8.255984268733691e-16
256,37,8.255984268732501e-16
256,38,8.255984268732413e-16
256,39,8.255984268732403e-16
256,40,8.255984268732394e-16
256,41,8.255984268732316e-16
256,42,8.255984268731257e-16
256,43,8.255984268716549e-16
256,44,8.255984268511711e-16
256,45,8.255984265658407e-16
256,46,8.255984225912524e-16
256,47,8.255983672260204e-16
256,48,8.255975959996805e-16
256,49,8.255868532195279e-16
256,50,8.254372615241998e-16
256,51,8.233638219944364e-16
256,52,7.963501496168362e-16
256,53,6.001041501974723e-16
256,54,3.637792465883058e-16
256,55,3.207786191549992e-16
256,56,3.172757455424036e-16
256,57,3.170217453032940e-16
256,58,3.170034979615048e-16
256,59,3.170021879603116e-16
256,60,3.170020939182407e-16
256,61,3.170020871672019e-16
256,62,3.170020866825629e-16
256,63,3.170020866477720e-16
256,64,3.170020866452745e-16
256,65,3.170020866450952e-16
256,66,3.170020866450823e-16
256,67,3.170020866450815e-16
256,68,3.170020866450814e-16
256,69,3.170020866450814e-16
256,70,3.170020866450814e-16
256,71,3.170020866450811e-16
256,72,3.170020866450767e-16
256,73,3.170020866450165e-16
256,74,3.170020866441777e-16
256,75,3.170020866324926e-16
256,76,3.170020864697158e-16
256,77,3.170020842021840e-16
256,78,3.170020526155126e-16
256,79,3.170016127678597e-16
256,80,3.169955177006142e-16
256,81,3.169164273651167e-16
256,82,3.163708563720797e-16
256,83,3.158391577317559e-16
256,84,3.157643143764489e-16
256,85,3.157585694405123e-16
256,86,3.157581549893545e-16
256,87,3.157581252274973e-16
256,88,3.157581230910023e-16
256,89,3.157581229376351e-16
256,90,3.157581229266257e-16
256,91,3.157581229258354e-16
256,92,3.157581229257787e-16
256,93,3.157581229257746e-16
256,94,3.157581229257743e-16
256,95,3.157581229257743e-16
256,96,3.157581229257743e-16
256,97,3.157581229257742e-16
256,98,3.157581229257741e-16
